week,max_temp_forecast,ci_lower,ci_upper
2025-08-10,3.5837230585573097,-1.4675349156674833,8.634981032782102
2025-08-17,4.337914751802986,-0.7912884820353838,9.467117985641355
2025-08-24,5.265292999215239,0.1191542310313114,10.411431767399167
2025-08-31,6.278352220725865,1.124902829586227,11.431801611865502
2025-09-07,7.119996867959469,1.9606788069877714,12.279314928931168
2025-09-14,7.984599180502859,2.819727225182544,13.149471135823173
2025-09-21,7.980984919184945,2.8106309754190733,13.151338862950817
2025-09-28,10.783050197421812,5.607234687538402,15.958865707305222
2025-10-05,10.044667803108926,4.8633997055509814,15.225935900666869
2025-10-12,11.084496620967055,5.897782380600794,16.271210861333316
2025-10-19,13.123299292108914,7.931144779023818,18.31545380519401
2025-10-26,12.59059794301173,7.393008886328655,17.788186999694805
2025-11-02,12.67827355021855,7.475255634006355,17.881291466430746
2025-11-09,15.178470395107407,9.970029279658231,20.386911510556583
2025-11-16,14.876808852559433,9.66295017910728,20.090667526011586
2025-11-23,15.390423586218397,10.171152977345917,20.609694195090874
2025-11-30,15.216560239753958,9.991883298728295,20.441237180779623
2025-12-07,17.29368154612986,12.063603797631721,22.523759294628
2025-12-14,17.592458598152565,12.356985865556826,22.827931330748303
2025-12-21,18.96115696079057,13.720457863332195,24.20185605824895
2025-12-28,18.770261838105263,13.527609034559951,24.012914641650575
2026-01-04,19.495293972030304,14.247256318983338,24.743331625077268
2026-01-11,20.643402305228243,15.389978719328631,25.896825891127854
2026-01-18,19.180595198445964,13.921804924787619,24.43938547210431
2026-01-25,19.605667033967972,14.341519145430789,24.869814922505157
2026-02-01,18.647527610521763,13.378028424542544,23.917026796500984
2026-02-08,18.33423106810502,13.059386205034947,23.60907593117509
2026-02-15,17.96092950809206,12.68074442260209,23.241114593582033
2026-02-22,18.120217055672686,12.83469715267464,23.405736958670733
2026-03-01,17.833917131835864,12.543067792563676,23.124766471108053
2026-03-08,16.105110511488284,10.808937099308018,21.40128392366855
2026-03-15,15.903540616669076,10.602048478430103,21.20503275490805
2026-03-22,14.002594371172233,8.695788837567646,19.309399904776818
2026-03-29,13.48498053258223,8.172866918291911,18.797094146872546
2026-04-05,11.491369762174328,6.173953365957978,16.808786158390678
2026-04-12,11.596759539220953,6.274045644000914,16.91947343444099
2026-04-19,10.6713652301356,5.343359103075751,15.999371357195447
2026-04-26,9.467954753205406,4.134661645790012,14.801247860620801
2026-05-03,7.617181474040191,2.2786066221510453,12.955756325929336
2026-05-10,8.236607827793385,2.892756451787454,13.580459203799316
2026-05-17,7.28253585839421,1.933413163179683,12.631658553608737
2026-05-24,5.7815160707404765,0.42712724585332484,11.135904895627629
2026-05-31,5.788741327439853,0.42909154711884234,11.148391107760864
2026-06-07,4.683489244819745,-0.6814163319180517,10.04839482155754
2026-06-14,3.373339036641198,-1.9968171926440306,8.743495265926427
2026-06-21,3.488433519511509,-1.8869682335250246,8.863835272548043
2026-06-28,3.0758473915569766,-2.304794771435013,8.456489554548966
2026-07-05,3.195069595209943,-2.19080787886859,8.580947069288476
2026-07-12,3.13560567953133,-2.2555020216205337,8.526713380683194
2026-07-19,2.776085242829981,-2.620247616174253,8.172418101834214
2026-07-26,3.4097439648511063,-1.9918089975204225,8.811296927222635
2026-08-02,3.259477326139402,-2.1472907006398296,8.666245352918633
2026-08-09,4.104622929616122,-1.356560687174487,9.56580654640673
2026-08-16,4.593375154554671,-0.8778440251750306,10.064594334284372
2026-08-23,5.446262041232199,-0.03218581885169858,10.924709901316096
2026-08-30,6.4441673680715486,0.9592511526830663,11.92908358346003
2026-09-06,7.28234492229059,1.7911122059782576,12.773577638602923
2026-09-13,8.146189419530462,2.648680498852663,13.64369834020826
2026-09-20,8.142406615706442,2.6386358245858155,13.646177406827068
2026-09-27,10.944434658281578,5.434410708967553,16.454458607595605
